PID_79,HHID_79,core_sample,sample_wgts,month_born,year_born,live_with_mom_at_14,live_with_dad_at_14,single_mom_at_14,usborn,male,hispanic,black,AFQT_HS,AFQT,ROTTER,ROSENBERG,HGC_Age28,HGC_Age24,HGC_FATH79r,HGC_MOTH79r,real_earnings_1978,real_earnings_1979,real_earnings_1980,real_earnings_1981,real_earnings_1982,real_earnings_1983,real_earnings_1984,real_earnings_1985,real_earnings_1986,real_earnings_1987,real_earnings_1988,real_earnings_1989,real_earnings_1990,real_earnings_1991,real_earnings_1992,real_earnings_1993,real_earnings_1995,real_earnings_1997,real_earnings_1999,real_earnings_2001,real_earnings_2003,real_earnings_2005,real_earnings_2007,real_earnings_2009,real_earnings_2011,weeks_worked_1978,weeks_worked_1979,weeks_worked_1980,weeks_worked_1981,weeks_worked_1982,weeks_worked_1983,weeks_worked_1984,weeks_worked_1985,weeks_worked_1986,weeks_worked_1987,weeks_worked_1988,weeks_worked_1989,weeks_worked_1990,weeks_worked_1991,weeks_worked_1992,weeks_worked_1993,weeks_worked_1995,weeks_worked_1997,weeks_worked_1999,weeks_worked_2001,weeks_worked_2003,weeks_worked_2005,weeks_worked_2007,weeks_worked_2009,weeks_worked_2011,NORTH_EAST_79,NORTH_CENTRAL_79,SOUTH_79,WEST_79
1,1,1,602156.31,9,58,1,1,0,1,0,0,0,,,11,,,12,8,8,15451.207,,13231.554,,,,,,,,,,,,,,,,,,,,,,,52,,52,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
2,2,1,816100.38,1,59,1,1,0,0,0,0,0,1,6.8410001,8,355,12,9,8,5,13377.669,15017.631,15877.864,23988.559,24856.125,25177.148,23085.813,28371.598,31832.992,38390.141,35021.672,35170.324,33367.406,35221.969,38855.309,0,0,0,0,0,0,6140.8501,5258.3652,6098.4165,18418.611,34,52,52,52,52,52,52,52,52,52,52,52,52,52,52,5,0,0,0,0,18,52,52,52,52,1,0,0,0
3,3,1,572996.38,8,61,1,0,0,1,0,0,0,0,49.444,13,416,10,10,12,10,,21024.684,,16791.99,0,0,2728.3235,0,2984.343,1919.5071,0,10551.097,6673.4814,6403.9941,9325.2744,0,60094.172,951.02307,0,0,,0,31550.193,,33929.02,38,40,,19,0,0,23,0,24,7,15,39,0,20,52,3,0,10,52,0,,43,0,,52,1,0,0,0
4,3,1,604567.88,8,62,1,0,0,1,0,0,0,0,55.761002,8,,14,14,12,11,,,0,2605.1575,158.17534,0,0,14185.799,34817.336,40923.891,40109.031,0,,48830.457,51289.008,,50078.477,17661.857,,,,,,,,0,,0,16,2,0,0,32,48,37,48,0,,52,52,,52,40,,,,,,,,1,0,0,0
5,5,1,764753,7,59,1,1,0,1,1,0,0,1,96.772003,9,506,18,18,12,12,7357.7178,6007.0522,8997.4561,5517.3687,4971.2251,22987.832,,117539.48,,115170.42,95848.789,,,,,,,,,,,,,,,46,46,52,26,13,12,,52,,52,52,,,,,,,,,,,,,,,1,0,0,0
6,5,1,636938,10,60,1,1,0,1,1,0,0,1,99.392998,12,574,16,16,12,12,4682.1841,5105.9946,8468.1943,7796.2817,1656.3218,13135.903,26863.492,32627.338,35812.117,38390.141,40551.41,40445.871,41709.258,41625.961,43517.945,49043.738,50078.477,,52354.383,53559.773,66957.414,72573.68,90443.883,91781.172,101787.06,32,9,30,30,25,34,52,52,52,52,52,52,52,52,52,52,52,,52,52,52,52,52,52,52,1,0,0,0
7,7,1,674417,6,64,1,0,1,1,1,0,0,0,47.411999,12,532,12,12,12,12,,,,11934.308,21466.652,0,0,0,0,0,0,0,2502.5554,1600.9985,0,40744.027,36628.828,36410.598,32721.488,33859.629,35552.609,21213.846,34179.375,0,,,,52,52,52,8,0,0,0,0,0,0,20,22,1,39,52,52,52,52,52,0,31,0,,1,0,0,0
8,8,1,148170,7,58,1,1,0,1,0,0,0,1,44.021999,7,476,12,12,6,9,668.88342,10512.342,16211.299,17991.42,18077.182,21893.172,16789.682,0,17906.059,8132.9512,28570.313,29894.773,29863.828,28817.973,27975.822,30935.281,34339.527,29889.297,35862.75,38784.664,40292.957,40194.656,43118.598,42687.898,38776.023,4,25,51,52,52,52,52,1,50,26,51,52,52,52,52,52,52,52,52,52,52,50,52,50,52,1,0,0,0
9,9,1,637257,7,63,1,0,0,1,1,0,0,0,59.682999,4,550,14,13,10,12,,,,11994.279,6778.9429,15325.221,12099.064,14185.799,29843.43,34551.125,38708.164,52755.484,41709.258,40024.965,29530.035,30180.762,74402.313,0,68060.695,61562.957,65179.781,72573.68,52583.652,52852.945,72705.047,,,48,49,52,52,52,52,52,52,52,52,52,52,42,23,52,52,52,52,52,52,52,52,52,1,0,0,0
10,10,1,133082,10,60,1,0,1,1,0,0,0,0,30.039,10,412,9,9,12,12,0,1802.1157,12053.945,21589.703,20336.828,6567.9517,12592.262,,,9597.5352,,7034.0645,20020.443,28817.973,18650.549,22635.57,,,,,,,,,,0,32,52,52,52,44,34,,,46,,27,45,52,52,52,,,,,,,,,,1,0,0,0
