,PID_79,HHID_79,year_born,Earnings,HGC_Age28,AFQT
5,6,5,60,57623.8566667,16.0,99.392998
6,7,7,64,34636.081,12.0,47.411999
8,9,9,63,48700.85825,14.0,59.682999
12,13,13,58,56102.037,16.0,72.313004
14,15,15,64,0.0,16.0,82.260002
16,17,17,57,63720.7945,13.0,89.668999
17,18,17,58,186308.02325,13.0,95.976997
23,24,23,61,46192.547,12.0,66.028999
33,34,34,58,39923.8315,13.0,6.0689998
38,39,39,59,92668.40575,12.0,26.851
39,40,40,60,699.8938625,13.0,38.418999
40,41,40,62,122104.134,15.0,57.095001
41,42,42,63,58698.8,12.0,22.326
46,47,47,59,77377.581,12.0,75.473
58,59,58,59,49926.6173333,12.0,98.841003
59,60,58,61,80272.641,12.0,82.980003
62,63,63,60,165536.885,16.0,87.933998
66,67,67,58,290577.16,17.0,93.246002
68,69,69,64,90610.94275,18.0,86.703003
70,71,70,63,221667.17,19.0,98.077003
75,76,74,64,40865.5625,14.0,42.779999
78,79,78,60,271677.325,18.0,96.084
79,80,80,63,16910.534,17.0,78.759003
80,81,80,64,30900.466,19.0,29.497
89,90,90,58,115757.12275,16.0,80.297997
92,93,93,64,68352.02075,12.0,28.438
100,101,101,58,101038.8155,19.0,87.367996
102,103,103,58,72131.88675,18.0,76.420998
105,106,106,61,98315.97,16.0,87.651001
106,107,107,62,50821.2265,16.0,65.347
107,108,107,58,66342.17325,20.0,96.818001
109,110,110,57,81305.7325,12.0,64.696999
116,117,115,59,70265.667,15.0,98.348999
118,119,118,57,37637.713,16.0,27.671
119,120,120,62,226482.405,16.0,97.847
121,122,122,61,55919.689,12.0,52.132
124,125,124,57,8575.68036667,13.0,32.106998
125,126,124,58,65625.48325,14.0,67.259003
128,129,129,60,87012.7225,16.0,92.817001
133,134,134,61,81516.258,12.0,47.098
134,135,134,64,41218.8077137,15.0,38.314999
138,139,137,63,49698.5675,15.0,79.832001
144,145,145,62,17360.855,12.0,62.606998
145,146,145,64,53676.19925,12.0,86.931999
147,148,148,63,41839.446,12.0,74.997002
149,150,150,59,18916.8582675,12.0,38.129002
154,155,155,63,56655.591,9.0,47.002998
155,156,156,57,20739.0215,11.0,4.9749999
161,162,162,61,95503.69525,16.0,98.252998
165,166,165,62,68885.6875,13.0,58.431999
170,171,171,62,89146.408,16.0,82.207001
176,177,175,60,81516.258,12.0,51.881001
177,178,178,58,48954.068,13.0,77.068001
184,185,183,64,27257.6855,12.0,77.154999
188,189,189,58,77755.081,15.0,59.285999
190,191,190,63,124609.04225,19.0,89.269997
192,193,193,58,109063.83925,16.0,45.527
193,194,193,64,221667.17,16.0,68.737999
194,195,195,59,271677.325,17.0,87.917
195,196,196,64,174986.7225,18.0,95.116997
197,198,198,63,115310.10575,18.0,64.238998
198,199,199,59,62225.44925,12.0,19.225
200,201,201,57,275799.35,16.0,86.602997
201,202,202,60,37447.2735,14.0,73.183998
206,207,206,62,17957.33975,9.0,25.802
208,209,209,60,24835.7115,11.0,49.080002
209,210,210,62,45784.7343333,16.0,59.040001
211,212,212,61,52310.25875,12.0,57.813999
212,213,212,62,57367.599,16.0,99.459999
213,214,212,64,97213.0745,15.0,79.883003
217,218,218,57,271677.325,16.0,81.446999
229,230,230,64,48338.544,15.0,34.084
231,232,231,61,38823.8955,14.0,55.779999
232,233,231,64,46534.1425,12.0,31.472
233,234,234,61,156127.6975,12.0,35.460999
234,235,235,63,89523.96675,15.0,61.313
242,243,242,58,57075.66375,12.0,62.957001
246,247,247,59,79282.113,17.0,52.543999
247,248,247,61,12349.10725,12.0,8.2609997
252,253,253,64,17728.6485,11.0,34.744999
256,257,256,64,23139.80625,12.0,58.214001
258,259,258,59,34659.842575,12.0,56.348
259,260,260,61,62220.7335,14.0,83.226997
260,261,260,63,69000.3006667,14.0,73.360001
267,268,268,58,0.0,12.0,49.643002
268,269,269,59,271677.325,16.0,83.697998
272,273,272,59,76230.49225,15.0,64.372002
273,274,274,60,26715.42125,13.0,88.343002
276,277,277,59,27718.063,12.0,32.567001
278,279,279,62,48191.6875,12.0,59.271999
280,281,281,61,111492.615,18.0,72.768997
295,296,296,63,67446.26,12.0,25.280001
307,308,307,61,39839.1093333,12.0,10.489
308,309,309,59,85637.81625,12.0,27.778999
309,310,309,60,14813.587,12.0,18.490999
310,311,309,64,50657.25975,12.0,24.684999
312,313,312,63,45759.802,11.0,30.794001
314,315,315,64,4415.46425,12.0,4.138
315,316,316,64,37595.462,12.0,18.097
316,317,317,59,46758.4465,16.0,78.738998
317,318,318,63,22665.1523333,12.0,19.254
319,320,319,60,107665.55925,12.0,68.031998
322,323,323,59,100029.8995,12.0,65.824997
323,324,323,62,11237.09825,9.0,10.373
341,342,341,63,86439.45325,16.0,95.123001
345,346,346,62,110693.945667,16.0,43.221001
347,348,348,57,250225.6425,12.0,36.154999
348,349,348,58,127195.213333,13.0,35.208
349,350,348,62,70529.91025,17.0,47.18
350,351,351,59,94348.52425,12.0,19.021
352,353,353,59,0.0,12.0,53.498001
354,355,353,64,165187.7055,12.0,55.480999
355,356,356,62,59448.73825,11.0,41.793999
356,357,357,58,85570.16425,16.0,68.746002
357,358,357,61,95799.40925,16.0,28.374001
360,361,361,58,259311.25,16.0,72.327003
361,362,362,57,46095.6485,12.0,19.625
363,364,364,59,91497.34125,16.0,87.760002
365,366,364,63,0.0,16.0,61.883999
374,375,373,60,30588.9446667,12.0,11.374
