pubid,avg_earn_2014_to_2018,hgc_ever,asvab,female,black,hispanic
1,148921.48403796376,16.0,450.7,1,0,0
2,138251.52555743,14.0,584.83,0,0,1
3,68974.53264697913,16.0,279.78,1,0,1
4,47482.81281847237,13.0,370.12,1,0,1
6,13759.262574200935,14.0,220.01,1,0,1
7,1613.3160770779407,11.0,35.85,0,0,1
11,44377.11090681438,16.0,305.83,1,0,1
13,35432.488345740174,10.0,675.33,0,0,1
15,58452.99376862638,14.0,260.24,1,0,1
16,8153.817082388511,16.0,444.51,0,0,1
17,44424.27526415605,10.0,308.11,1,0,1
18,34005.779068410026,13.0,93.39,0,1,0
20,24461.451247165533,8.0,110.25,0,1,0
21,31367.39857920623,8.0,35.05,0,0,1
22,72351.39959311993,13.0,104.43,0,0,1
23,96269.82744691844,16.0,64.23,1,0,1
24,62.05061834915156,8.0,61.2,0,0,1
25,6819.515939673078,8.0,54.03,1,0,1
26,0.0,11.0,128.66,0,1,0
28,43135.53096684542,17.0,170.58,1,1,0
31,102339.49870347115,16.0,628.06,0,0,0
32,152670.01422446652,18.0,399.49,1,0,0
33,18891.08458683178,16.0,966.55,1,0,0
34,0.0,17.0,351.07,1,0,0
35,70294.57904000166,16.0,592.7,0,0,0
36,12099.870578084556,15.0,521.92,1,0,0
37,79563.41881807988,17.0,829.12,1,0,0
38,86398.16225825895,16.0,687.53,1,0,0
39,30974.370682267727,16.0,459.0,0,0,1
41,82405.38384423358,17.0,886.52,1,0,0
43,1034.1769724858593,13.0,229.65,1,1,0
44,0.0,13.0,253.25,0,0,1
47,16445.056064507688,14.0,464.75,1,1,0
48,79563.61209119136,16.0,637.69,1,1,0
49,56438.40311360958,12.0,794.13,1,1,0
51,49491.0697855395,14.0,510.57,0,1,0
52,56619.43434662108,14.0,298.24,0,1,0
53,38471.38337647397,12.0,471.34,1,1,0
54,36559.3298160902,16.0,585.41,1,1,0
55,56289.32441876393,16.0,532.41,1,0,1
56,63669.63327643232,18.0,967.03,1,0,0
58,124569.93819369981,15.0,152.35,0,1,0
59,40842.91721771574,15.0,564.29,1,1,0
60,10858.858211101524,18.0,13.55,0,0,0
61,13135.80635494539,14.0,444.95,1,1,0
62,38669.56779788341,17.0,734.29,0,1,0
63,53657.99947171,16.0,529.21,1,1,0
64,106422.88713552791,14.0,341.97,0,1,0
69,97845.80498866213,18.0,813.15,1,1,0
70,96404.17818163226,16.0,567.08,0,1,0
75,55426.961072992126,15.0,75.56,0,0,0
76,140361.7427206213,14.0,340.58,0,0,0
78,17386.350773320824,14.0,290.32,1,0,0
79,21613.067561891978,13.0,105.63,0,0,1
80,0.0,11.0,110.14,0,1,0
81,0.0,11.0,23.9,1,1,0
82,51559.42373051121,16.0,699.4,0,0,1
83,0.0,12.0,80.11,0,0,1
84,15512.654587287892,16.0,421.29,1,0,1
85,43088.13021209101,12.0,701.13,0,0,0
86,75579.71429073176,18.0,137.22,1,0,0
88,85163.75863087943,12.0,59.29,0,0,0
89,116356.29726986506,20.0,788.92,0,0,0
92,0.0,12.0,43.55,0,0,0
93,36777.8604448461,14.0,53.51,0,0,1
94,30294.629693352093,14.0,799.41,1,1,0
97,78849.97819289367,16.0,581.77,0,0,1
100,44257.254511834035,11.0,100.86,1,1,0
102,30576.814058956912,16.0,353.16,1,0,1
104,90192.95857770706,16.0,584.82,1,0,0
105,129947.80273834364,12.0,748.83,0,0,0
107,120505.22272704031,18.0,948.37,1,0,0
108,107927.16092472471,20.0,837.65,0,0,0
109,0.0,16.0,908.66,1,0,0
110,8273.415779886875,18.0,438.64,1,0,0
111,0.0,16.0,823.18,1,0,0
112,60198.79647650625,18.0,577.27,1,0,0
113,116501.67505518907,17.0,768.38,0,0,0
114,31984.761453822226,16.0,653.45,1,0,0
115,383978.88512598205,10.0,531.32,1,0,1
119,81834.19127607693,16.0,330.91,0,0,0
121,61602.12323353269,13.0,807.01,0,0,0
122,45390.17708047508,12.0,596.05,0,0,0
126,77453.01205587224,12.0,353.03,0,0,0
127,69019.75512418294,18.0,587.06,1,0,0
128,94689.54233546765,17.0,716.24,1,0,0
129,85615.07936507936,16.0,619.79,1,0,0
130,70143.59252235165,16.0,396.53,1,0,0
133,275869.5597660602,16.0,837.89,0,0,0
137,48223.29652619703,11.0,633.29,1,0,0
138,79695.38842424811,14.0,604.24,0,0,0
143,14478.477614802032,15.0,420.98,0,1,0
144,88730.36649849957,13.0,622.19,0,1,0
145,118436.54666021613,16.0,395.85,0,1,0
146,7179.278397725597,12.0,183.71,0,1,0
147,0.0,13.0,423.48,1,0,0
149,0.0,15.0,50.71,1,1,0
150,42596.35821619683,14.0,122.33,0,1,0
151,43435.432844406096,12.0,197.49,1,1,0
152,13826.840593873443,12.0,271.57,0,1,0
153,0.0,12.0,108.25,1,1,0
155,312124.0813843135,16.0,995.95,0,0,0
156,312124.0813843135,20.0,926.92,0,0,0
158,112932.12539545585,16.0,799.49,0,0,1
159,16894.48986035908,13.0,30.49,1,0,1
161,47788.63606763034,11.0,42.51,0,0,1
164,62105.17997751904,13.0,501.69,1,0,0
165,244532.5465699001,16.0,404.21,0,0,0
166,71547.69556445187,17.0,831.28,1,0,0
168,383978.88512598205,12.0,313.37,0,0,1
169,974.2165628104398,11.0,755.82,1,0,0
170,45313.4732396961,16.0,615.33,1,0,0
171,14115.930708772072,15.0,879.67,1,0,1
172,288503.2482993197,20.0,986.87,0,0,0
176,130427.10852324474,17.0,902.92,0,0,0
177,79815.24481922846,18.0,463.04,1,0,0
178,53706.26542860575,20.0,871.98,1,0,0
181,31678.99943640693,20.0,1000.0,1,0,0
182,280006.26765600365,16.0,981.96,1,0,0
183,41472.43323519306,16.0,812.82,1,0,0
187,120055.4146313145,17.0,858.28,0,0,1
188,55251.780345151594,16.0,424.43,1,0,0
190,57300.38412256673,9.0,824.74,0,0,0
191,60791.113519371436,12.0,742.48,0,0,0
192,26073.526259269605,13.0,554.84,1,0,1
193,15512.654587287892,12.0,180.81,1,1,0
194,16511.479591836734,13.0,496.36,1,0,1
195,23036.96789854761,13.0,635.03,0,1,0
197,93075.92752372735,20.0,758.23,1,0,0
198,36361.347721512946,12.0,299.45,1,0,0
199,55882.113913608635,16.0,526.0,0,0,0
201,86991.64213242088,18.0,995.91,1,0,0
202,94785.60783968931,11.0,390.48,0,0,0
203,149372.80105537307,16.0,467.07,1,0,0
204,74065.77774180257,14.0,618.95,1,0,0
207,106231.96989747309,16.0,819.98,1,0,0
212,85604.52653882951,10.0,425.07,0,0,1
213,0.0,15.0,355.68,1,0,1
214,69469.29008345043,16.0,665.61,1,0,1
216,82315.36269925733,16.0,604.96,1,0,1
217,0.0,14.0,440.3,1,0,1
219,24130.944219782657,16.0,807.73,0,0,0
220,0.0,13.0,665.56,0,0,0
221,35989.66532538402,14.0,822.09,1,0,0
